Date;Harvest;Pick;Syst;Syst_tree;caliber;N_sain_cal;N_rot_cal;N_pic_cal;N_epi_cal;N_epi2_cal;N_tot_cal
30/07/2019;;3;S3;S3 A06;2A;2;;1;;;3
30/07/2019;;3;S3;S3 A06;3A;;;;;;
30/07/2019;;3;S3;S3 A07;D;16;;;;;16
30/07/2019;;3;S3;S3 A07;C ;40;;;;1;41
30/07/2019;;3;S3;S3 A07;B;57;1;15;;2;75
30/07/2019;;3;S3;S3 A07;A;12;1;3;;;16
30/07/2019;;3;S3;S3 A07;2A;;;;;;
30/07/2019;;3;S3;S3 A07;3A;;;;;;
30/07/2019;;3;S3;S3 A08;D;6;;;;;6
30/07/2019;;3;S3;S3 A08;C ;9;;1;;6;16
30/07/2019;;3;S3;S3 A08;B;45;;3;;;48
30/07/2019;;3;S3;S3 A08;A;26;;4;;9;39
30/07/2019;;3;S3;S3 A08;2A;1;;;;;1
30/07/2019;;3;S3;S3 A08;3A;;;;;;
30/07/2019;;3;S3;S3 A09;D;6;;;;;6
30/07/2019;;3;S3;S3 A09;C ;39;;1;;7;47
30/07/2019;;3;S3;S3 A09;B;58;1;;;10;69
30/07/2019;;3;S3;S3 A09;A;6;1;2;1;;10
30/07/2019;;3;S3;S3 A09;2A;;;;;;
30/07/2019;;3;S3;S3 A09;3A;;;;;;
30/07/2019;;3;S3;S3 A10;D;17;;;;;17
30/07/2019;;3;S3;S3 A10;C ;24;;1;;5;30
30/07/2019;;3;S3;S3 A10;B;41;;6;;4;51
30/07/2019;;3;S3;S3 A10;A;7;1;1;;;9
30/07/2019;;3;S3;S3 A10;2A;0;;1;;;1
30/07/2019;;3;S3;S3 A10;3A;;;;;;
30/07/2019;;3;S3;S3 A11;D;5;;;;;5
30/07/2019;;3;S3;S3 A11;C ;16;;1;;6;23
30/07/2019;;3;S3;S3 A11;B;49;;2;;5;56
30/07/2019;;3;S3;S3 A11;A;8;;;;2;10
30/07/2019;;3;S3;S3 A11;2A;;;;;;
30/07/2019;;3;S3;S3 A11;3A;;;;;;
30/07/2019;;3;S3;S3 A12;D;7;;;;;7
30/07/2019;;3;S3;S3 A12;C ;15;;;;4;19
30/07/2019;;3;S3;S3 A12;B;37;;1;;9;47
30/07/2019;;3;S3;S3 A12;A;16;;1;;3;20
30/07/2019;;3;S3;S3 A12;2A;;;;;;
30/07/2019;;3;S3;S3 A12;3A;;;;;;
