cultivar;harvest_date;harvest_n;temp;irr;box;fruit_n;weight;dah;obs_date;infection;perc_infection;Pathogene
Nectarlove;22/07/2019;1;T2;50%;4;4;185.3;0;22/07/2019;0;;
Nectarlove;22/07/2019;1;T2;50%;4;5;127.5;0;22/07/2019;0;;
Nectarlove;22/07/2019;1;T2;50%;4;6;128;0;22/07/2019;0;;
Nectarlove;22/07/2019;1;T2;50%;4;7;143.7;0;22/07/2019;0;;
Nectarlove;22/07/2019;1;T2;50%;4;8;142.3;0;22/07/2019;0;;
Nectarlove;22/07/2019;1;T2;50%;4;9;136.4;0;22/07/2019;0;;
Nectarlove;22/07/2019;1;T2;50%;4;10;150;0;22/07/2019;0;;
Nectarlove;22/07/2019;1;T2;50%;4;11;104.2;0;22/07/2019;0;;
Nectarlove;22/07/2019;1;T2;50%;4;12;117.6;0;22/07/2019;0;;
Nectarlove;22/07/2019;1;T2;50%;4;13;157.5;0;22/07/2019;0;;
Nectarlove;22/07/2019;1;T2;50%;4;14;117.1;0;22/07/2019;0;;
Nectarlove;22/07/2019;1;T2;50%;4;15;116.6;0;22/07/2019;0;;
Nectarlove;22/07/2019;1;T2;50%;4;16;166.7;0;22/07/2019;0;;
Nectarlove;22/07/2019;1;T2;50%;4;17;118.2;0;22/07/2019;0;;
Nectarlove;22/07/2019;1;T2;50%;4;18;128.8;0;22/07/2019;0;;
Nectarlove;22/07/2019;1;T2;50%;4;19;150.8;0;22/07/2019;0;;
Nectarlove;22/07/2019;1;T2;50%;4;20;160.6;0;22/07/2019;0;;
Nectarlove;22/07/2019;1;T2;100%;1;1;171.7;0;22/07/2019;0;;
Nectarlove;22/07/2019;1;T2;100%;1;2;151.4;0;22/07/2019;0;;
Nectarlove;22/07/2019;1;T2;100%;1;3;152.3;0;22/07/2019;0;;
Nectarlove;22/07/2019;1;T2;100%;1;4;169.7;0;22/07/2019;0;;
Nectarlove;22/07/2019;1;T2;100%;1;5;156.8;0;22/07/2019;0;;
Nectarlove;22/07/2019;1;T2;100%;1;6;165.7;0;22/07/2019;0;;
Nectarlove;22/07/2019;1;T2;100%;1;7;224.5;0;22/07/2019;0;;
Nectarlove;22/07/2019;1;T2;100%;1;8;179.3;0;22/07/2019;0;;
Nectarlove;22/07/2019;1;T2;100%;1;9;200.8;0;22/07/2019;0;;
Nectarlove;22/07/2019;1;T2;100%;1;10;158.8;0;22/07/2019;0;;
Nectarlove;22/07/2019;1;T2;100%;1;11;161.9;0;22/07/2019;0;;
Nectarlove;22/07/2019;1;T2;100%;1;12;150.4;0;22/07/2019;0;;
Nectarlove;22/07/2019;1;T2;100%;1;13;185.6;0;22/07/2019;0;;
Nectarlove;22/07/2019;1;T2;100%;1;14;173.6;0;22/07/2019;0;;
Nectarlove;22/07/2019;1;T2;100%;1;15;158;0;22/07/2019;0;;
Nectarlove;22/07/2019;1;T2;100%;1;16;172.6;0;22/07/2019;0;;
Nectarlove;22/07/2019;1;T2;100%;1;17;224.6;0;22/07/2019;0;;
Nectarlove;22/07/2019;1;T2;100%;1;18;162.4;0;22/07/2019;0;;
Nectarlove;22/07/2019;1;T2;100%;1;19;225.4;0;22/07/2019;0;;
Nectarlove;22/07/2019;1;T2;100%;1;20;155.2;0;22/07/2019;0;;
Nectarlove;22/07/2019;1;T2;100%;2;1;203.8;0;22/07/2019;0;;
Nectarlove;22/07/2019;1;T2;100%;2;2;184.2;0;22/07/2019;0;;
Nectarlove;22/07/2019;1;T2;100%;2;3;204.2;0;22/07/2019;0;;
Nectarlove;22/07/2019;1;T2;100%;2;4;181.5;0;22/07/2019;0;;
Nectarlove;22/07/2019;1;T2;100%;2;5;161.3;0;22/07/2019;0;;
Nectarlove;22/07/2019;1;T2;100%;2;6;165.7;0;22/07/2019;0;;
Nectarlove;22/07/2019;1;T2;100%;2;7;196.6;0;22/07/2019;0;;
Nectarlove;22/07/2019;1;T2;100%;2;8;180.2;0;22/07/2019;0;;
Nectarlove;22/07/2019;1;T2;100%;2;9;179.4;0;22/07/2019;0;;
Nectarlove;22/07/2019;1;T2;100%;2;10;169.5;0;22/07/2019;0;;
Nectarlove;22/07/2019;1;T2;100%;2;11;162.3;0;22/07/2019;0;;
Nectarlove;22/07/2019;1;T2;100%;2;12;226.3;0;22/07/2019;0;;
Nectarlove;22/07/2019;1;T2;100%;2;13;167.8;0;22/07/2019;0;;
Nectarlove;22/07/2019;1;T2;100%;2;14;164;0;22/07/2019;0;;
Nectarlove;22/07/2019;1;T2;100%;2;15;183.4;0;22/07/2019;0;;
Nectarlove;22/07/2019;1;T2;100%;2;16;154.7;0;22/07/2019;0;;
Nectarlove;22/07/2019;1;T2;100%;2;17;146.9;0;22/07/2019;0;;
Nectarlove;22/07/2019;1;T2;100%;2;18;160.1;0;22/07/2019;0;;
Nectarlove;22/07/2019;1;T2;100%;2;19;192.7;0;22/07/2019;0;;
Nectarlove;22/07/2019;1;T2;100%;2;20;152.1;0;22/07/2019;0;;
Nectarlove;22/07/2019;1;T2;100%;3;1;131.4;0;22/07/2019;0;;
Nectarlove;22/07/2019;1;T2;100%;3;2;138.6;0;22/07/2019;0;;
Nectarlove;22/07/2019;1;T2;100%;3;3;148.8;0;22/07/2019;0;;
Nectarlove;22/07/2019;1;T2;100%;3;4;183;0;22/07/2019;0;;
Nectarlove;22/07/2019;1;T2;100%;3;5;169.2;0;22/07/2019;0;;
Nectarlove;22/07/2019;1;T2;100%;3;6;158;0;22/07/2019;0;;
Nectarlove;22/07/2019;1;T2;100%;3;7;192.4;0;22/07/2019;0;;
Nectarlove;22/07/2019;1;T2;100%;3;8;180.3;0;22/07/2019;0;;
Nectarlove;22/07/2019;1;T2;100%;3;9;238.4;0;22/07/2019;0;;
Nectarlove;22/07/2019;1;T2;100%;3;10;219.8;0;22/07/2019;0;;
Nectarlove;22/07/2019;1;T2;100%;3;11;148.8;0;22/07/2019;0;;
Nectarlove;22/07/2019;1;T2;100%;3;12;169;0;22/07/2019;0;;
Nectarlove;22/07/2019;1;T2;100%;3;13;145.3;0;22/07/2019;0;;
Nectarlove;22/07/2019;1;T2;100%;3;14;168.6;0;22/07/2019;0;;
Nectarlove;22/07/2019;1;T2;100%;3;15;180.1;0;22/07/2019;0;;
Nectarlove;22/07/2019;1;T2;100%;3;16;163.8;0;22/07/2019;0;;
Nectarlove;22/07/2019;1;T2;100%;3;17;188.5;0;22/07/2019;0;;
Nectarlove;22/07/2019;1;T2;100%;3;18;166.3;0;22/07/2019;0;;
Nectarlove;22/07/2019;1;T2;100%;3;19;196.2;0;22/07/2019;0;;
Nectarlove;22/07/2019;1;T2;100%;3;20;178.1;0;22/07/2019;0;;
Nectarlove;22/07/2019;1;T2;100%;4;1;202.4;0;22/07/2019;0;;
Nectarlove;22/07/2019;1;T2;100%;4;2;210;0;22/07/2019;0;;
Nectarlove;22/07/2019;1;T2;100%;4;3;178.6;0;22/07/2019;0;;
