Harvest;H_Date;Mod;Box;Tree;Fruit;Weight
1;12/07/2018;S1M2;4;6;11;239.42
1;12/07/2018;S1M2;4;6;12;211.40
1;12/07/2018;S1M2;4;6;13;210.41
1;12/07/2018;S1M2;4;6;14;233.59
1;12/07/2018;S1M2;4;6;15;199.67
1;12/07/2018;S1M3;1;1;1;156.31
1;12/07/2018;S1M3;1;1;2;154.66
1;12/07/2018;S1M3;1;1;3;151.19
1;12/07/2018;S1M3;1;1;4;145.61
1;12/07/2018;S1M3;1;1;5;205.46
1;12/07/2018;S1M3;1;1;6;173.19
1;12/07/2018;S1M3;1;1;7;147.23
1;12/07/2018;S1M3;1;2;8;182.79
1;12/07/2018;S1M3;1;2;9;164.66
1;12/07/2018;S1M3;1;2;10;169.38
1;12/07/2018;S1M3;1;2;11;147.87
1;12/07/2018;S1M3;1;2;12;195.10
1;12/07/2018;S1M3;1;2;13;152.54
1;12/07/2018;S1M3;1;2;14;170.48
1;12/07/2018;S1M3;1;2;15;151.44
1;12/07/2018;S1M3;2;3;1;140.11
1;12/07/2018;S1M3;2;3;2;141.24
1;12/07/2018;S1M3;2;3;3;200.20
1;12/07/2018;S1M3;2;3;4;156.12
1;12/07/2018;S1M3;2;3;5;168.12
1;12/07/2018;S1M3;2;3;6;155.26
1;12/07/2018;S1M3;2;3;7;155.91
1;12/07/2018;S1M3;2;4;8;185.74
1;12/07/2018;S1M3;2;4;9;184.82
1;12/07/2018;S1M3;2;4;10;180.04
1;12/07/2018;S1M3;2;4;11;155.86
1;12/07/2018;S1M3;2;4;12;179.95
1;12/07/2018;S1M3;2;4;13;162.15
1;12/07/2018;S1M3;2;4;14;168.52
1;12/07/2018;S1M3;2;4;15;164.69
1;12/07/2018;S1M3;3;3;1;128.87
1;12/07/2018;S1M3;3;3;2;150.76
1;12/07/2018;S1M3;3;3;3;172.65
1;12/07/2018;S1M3;3;3;4;170.61
1;12/07/2018;S1M3;3;3;5;155.00
1;12/07/2018;S1M3;3;3;6;196.84
1;12/07/2018;S1M3;3;3;7;182.35
1;12/07/2018;S1M3;3;4;8;173.57
1;12/07/2018;S1M3;3;4;9;177.39
1;12/07/2018;S1M3;3;4;10;222.71
1;12/07/2018;S1M3;3;4;11;202.15
1;12/07/2018;S1M3;3;4;12;170.24
1;12/07/2018;S1M3;3;4;13;232.94
1;12/07/2018;S1M3;3;4;14;221.74
1;12/07/2018;S1M3;3;4;15;178.01
1;12/07/2018;S1M3;4;5;1;144.72
1;12/07/2018;S1M3;4;5;2;179.07
1;12/07/2018;S1M3;4;5;3;232.24
1;12/07/2018;S1M3;4;5;4;214.42
1;12/07/2018;S1M3;4;5;5;186.25
1;12/07/2018;S1M3;4;5;6;150.18
1;12/07/2018;S1M3;4;5;7;167.28
1;12/07/2018;S1M3;4;5;8;200.71
1;12/07/2018;S1M3;4;6;9;168.47
1;12/07/2018;S1M3;4;6;10;157.89
1;12/07/2018;S1M3;4;6;11;166.27
1;12/07/2018;S1M3;4;6;12;161.39
1;12/07/2018;S1M3;4;6;13;150.81
1;12/07/2018;S1M3;4;6;14;150.14
1;12/07/2018;S1M3;4;6;15;170.08
1;12/07/2018;S1M4;1;2;1;161.08
1;12/07/2018;S1M4;1;2;2;162.96
1;12/07/2018;S1M4;1;2;3;171.56
1;12/07/2018;S1M4;1;2;4;150.76
1;12/07/2018;S1M4;1;2;5;199.23
1;12/07/2018;S1M4;1;2;6;148.14
1;12/07/2018;S1M4;1;2;7;208.86
1;12/07/2018;S1M4;1;1;8;172.71
1;12/07/2018;S1M4;1;1;9;162.16
1;12/07/2018;S1M4;1;1;10;149.86
1;12/07/2018;S1M4;1;1;11;201.90
1;12/07/2018;S1M4;1;1;12;200.21
1;12/07/2018;S1M4;1;1;13;202.16
1;12/07/2018;S1M4;1;1;14;181.87
1;12/07/2018;S1M4;1;1;15;184.67
1;12/07/2018;S1M4;2;1;1;166.98
1;12/07/2018;S1M4;2;1;2;181.47
1;12/07/2018;S1M4;2;1;3;161.02
1;12/07/2018;S1M4;2;1;4;177.76
1;12/07/2018;S1M4;2;1;5;213.78
1;12/07/2018;S1M4;2;1;6;196.45
1;12/07/2018;S1M4;2;1;7;180.79
1;12/07/2018;S1M4;2;3;8;158.32
1;12/07/2018;S1M4;2;3;9;208.33
1;12/07/2018;S1M4;2;3;10;187.31
1;12/07/2018;S1M4;2;3;11;182.82
1;12/07/2018;S1M4;2;3;12;182.62
1;12/07/2018;S1M4;2;3;13;180.97
1;12/07/2018;S1M4;2;3;14;187.38
1;12/07/2018;S1M4;2;3;15;157.73
1;12/07/2018;S1M4;3;4;1;204.88
1;12/07/2018;S1M4;3;4;2;222.66
1;12/07/2018;S1M4;3;4;3;217.09
1;12/07/2018;S1M4;3;4;4;203.15
1;12/07/2018;S1M4;3;4;5;228.14
1;12/07/2018;S1M4;3;4;6;202.06
1;12/07/2018;S1M4;3;4;7;205.95
1;12/07/2018;S1M4;3;4;8;224.81
1;12/07/2018;S1M4;3;3;9;159.28
1;12/07/2018;S1M4;3;3;10;198.74
1;12/07/2018;S1M4;3;3;11;168.68
1;12/07/2018;S1M4;3;3;12;166.90
1;12/07/2018;S1M4;3;3;13;159.20
1;12/07/2018;S1M4;3;3;14;189.83
1;12/07/2018;S1M4;3;3;15;179.02
1;12/07/2018;S1M4;4;5;1;261.84
1;12/07/2018;S1M4;4;5;2;193.43
1;12/07/2018;S1M4;4;5;3;175.18
1;12/07/2018;S1M4;4;5;4;169.91
1;12/07/2018;S1M4;4;5;5;190.14
1;12/07/2018;S1M4;4;5;6;168.87
1;12/07/2018;S1M4;4;5;7;169.89
1;12/07/2018;S1M4;4;6;8;160.57
1;12/07/2018;S1M4;4;6;9;164.59
1;12/07/2018;S1M4;4;6;10;212.12
1;12/07/2018;S1M4;4;6;11;199.90
1;12/07/2018;S1M4;4;6;12;189.19
1;12/07/2018;S1M4;4;6;13;193.11
1;12/07/2018;S1M4;4;6;14;160.96
1;12/07/2018;S1M4;4;6;15;148.71
1;12/07/2018;S2M1;1;1;1;239.55
1;12/07/2018;S2M1;1;1;2;183.36
1;12/07/2018;S2M1;1;1;3;187.61
1;12/07/2018;S2M1;1;1;4;205.81
1;12/07/2018;S2M1;1;1;5;209.98
1;12/07/2018;S2M1;1;1;6;174.49
1;12/07/2018;S2M1;1;1;7;144.04
1;12/07/2018;S2M1;1;1;8;148.89
1;12/07/2018;S2M1;1;2;9;190.50
1;12/07/2018;S2M1;1;2;10;192.93
1;12/07/2018;S2M1;1;2;11;201.09
1;12/07/2018;S2M1;1;2;12;161.18
1;12/07/2018;S2M1;1;2;13;159.13
1;12/07/2018;S2M1;1;2;14;161.60
1;12/07/2018;S2M1;1;2;15;231.83
1;12/07/2018;S2M1;2;2;1;174.29
1;12/07/2018;S2M1;2;2;2;202.28
1;12/07/2018;S2M1;2;2;3;173.99
1;12/07/2018;S2M1;2;2;4;178.37
1;12/07/2018;S2M1;2;2;5;171.31
1;12/07/2018;S2M1;2;2;6;209.96
1;12/07/2018;S2M1;2;2;7;208.19
1;12/07/2018;S2M1;2;3;8;177.89
1;12/07/2018;S2M1;2;3;9;162.51
1;12/07/2018;S2M1;2;3;10;159.91
1;12/07/2018;S2M1;2;3;11;181.25
1;12/07/2018;S2M1;2;3;12;190.02
1;12/07/2018;S2M1;2;3;13;158.06
1;12/07/2018;S2M1;2;3;14;182.81
1;12/07/2018;S2M1;2;3;15;171.01
1;12/07/2018;S2M1;3;4;1;157.79
1;12/07/2018;S2M1;3;4;2;197.45
1;12/07/2018;S2M1;3;4;3;216.58
1;12/07/2018;S2M1;3;4;4;195.25
1;12/07/2018;S2M1;3;4;5;241.37
1;12/07/2018;S2M1;3;4;6;228.93
1;12/07/2018;S2M1;3;4;7;222.03
1;12/07/2018;S2M1;3;4;8;249.49
1;12/07/2018;S2M1;3;5;9;169.68
1;12/07/2018;S2M1;3;5;10;189.39
1;12/07/2018;S2M1;3;5;11;172.03
1;12/07/2018;S2M1;3;5;12;232.01
1;12/07/2018;S2M1;3;5;13;188.27
1;12/07/2018;S2M1;3;5;14;189.94
1;12/07/2018;S2M1;3;5;15;208.82
1;12/07/2018;S2M1;4;4;1;202.12
1;12/07/2018;S2M1;4;4;2;216.81
1;12/07/2018;S2M1;4;4;3;251.49
1;12/07/2018;S2M1;4;4;4;218.37
1;12/07/2018;S2M1;4;4;5;207.36
1;12/07/2018;S2M1;4;4;6;214.00
1;12/07/2018;S2M1;4;4;7;230.86
1;12/07/2018;S2M1;4;6;8;198.22
1;12/07/2018;S2M1;4;6;9;228.55
1;12/07/2018;S2M1;4;6;10;186.98
1;12/07/2018;S2M1;4;6;11;222.82
1;12/07/2018;S2M1;4;6;12;198.36
1;12/07/2018;S2M1;4;6;13;193.77
1;12/07/2018;S2M1;4;6;14;198.86
1;12/07/2018;S2M1;4;6;15;185.49
1;12/07/2018;S2M2;1;4;1;204.42
1;12/07/2018;S2M2;1;4;2;200.39
1;12/07/2018;S2M2;1;4;3;236.45
1;12/07/2018;S2M2;1;4;4;189.69
1;12/07/2018;S2M2;1;4;5;210.63
1;12/07/2018;S2M2;1;4;6;215.88
1;12/07/2018;S2M2;1;4;7;192.72
1;12/07/2018;S2M2;1;4;8;231.78
1;12/07/2018;S2M2;1;3;9;261.06
1;12/07/2018;S2M2;1;3;10;199.73
1;12/07/2018;S2M2;1;3;11;191.50
1;12/07/2018;S2M2;1;3;12;211.95
1;12/07/2018;S2M2;1;3;13;175.31
1;12/07/2018;S2M2;1;3;14;202.37
1;12/07/2018;S2M2;1;3;15;201.58
1;12/07/2018;S2M2;2;5;1;203.62
1;12/07/2018;S2M2;2;5;2;185.05
1;12/07/2018;S2M2;2;5;3;239.24
1;12/07/2018;S2M2;2;5;4;185.84
1;12/07/2018;S2M2;2;5;5;178.42
1;12/07/2018;S2M2;2;5;6;184.76
1;12/07/2018;S2M2;2;5;7;216.60
1;12/07/2018;S2M2;2;6;8;208.84
1;12/07/2018;S2M2;2;6;9;192.45
1;12/07/2018;S2M2;2;6;10;186.21
1;12/07/2018;S2M2;2;6;11;211.51
1;12/07/2018;S2M2;2;6;12;161.90
1;12/07/2018;S2M2;2;6;13;214.21
1;12/07/2018;S2M2;2;6;14;176.67
1;12/07/2018;S2M2;2;6;15;255.86
1;12/07/2018;S2M2;3;1;1;190.57
1;12/07/2018;S2M2;3;1;2;166.69
1;12/07/2018;S2M2;3;1;3;247.64
1;12/07/2018;S2M2;3;1;4;196.91
1;12/07/2018;S2M2;3;1;5;226.11
1;12/07/2018;S2M2;3;1;6;247.74
1;12/07/2018;S2M2;3;1;7;184.71
1;12/07/2018;S2M2;3;1;8;253.99
1;12/07/2018;S2M2;3;2;9;237.24
1;12/07/2018;S2M2;3;2;10;212.18
1;12/07/2018;S2M2;3;2;11;238.65
1;12/07/2018;S2M2;3;2;12;221.41
1;12/07/2018;S2M2;3;2;13;235.69
1;12/07/2018;S2M2;3;2;14;210.14
1;12/07/2018;S2M2;3;2;15;169.56
1;12/07/2018;S2M2;4;1;1;205.98
1;12/07/2018;S2M2;4;1;2;205.29
1;12/07/2018;S2M2;4;1;3;200.27
1;12/07/2018;S2M2;4;1;4;216.80
1;12/07/2018;S2M2;4;1;5;213.65
1;12/07/2018;S2M2;4;1;6;176.02
1;12/07/2018;S2M2;4;1;7;175.98
1;12/07/2018;S2M2;4;1;8;203.23
1;12/07/2018;S2M2;4;2;9;237.33
1;12/07/2018;S2M2;4;2;10;189.56
1;12/07/2018;S2M2;4;2;11;215.57
1;12/07/2018;S2M2;4;2;12;235.06
1;12/07/2018;S2M2;4;2;13;212.78
1;12/07/2018;S2M2;4;2;14;217.61
1;12/07/2018;S2M2;4;2;15;206.19
1;12/07/2018;S2M3;1;2;1;181.85
1;12/07/2018;S2M3;1;2;2;146.49
1;12/07/2018;S2M3;1;2;3;137.59
1;12/07/2018;S2M3;1;2;4;144.40
1;12/07/2018;S2M3;1;2;5;125.27
1;12/07/2018;S2M3;1;2;6;115.91
1;12/07/2018;S2M3;1;2;7;137.50
1;12/07/2018;S2M3;1;2;8;116.91
1;12/07/2018;S2M3;1;2;9;188.30
1;12/07/2018;S2M3;1;1;10;138.97
1;12/07/2018;S2M3;1;1;11;132.80
1;12/07/2018;S2M3;1;1;12;165.60
1;12/07/2018;S2M3;1;1;13;145.73
1;12/07/2018;S2M3;1;1;14;162.71
1;12/07/2018;S2M3;1;1;15;164.23
1;12/07/2018;S2M3;2;3;1;131.75
1;12/07/2018;S2M3;2;3;2;120.08
1;12/07/2018;S2M3;2;3;3;148.37
1;12/07/2018;S2M3;2;3;4;203.26
1;12/07/2018;S2M3;2;3;5;151.60
1;12/07/2018;S2M3;2;3;6;192.23
1;12/07/2018;S2M3;2;3;7;200.65
1;12/07/2018;S2M3;2;3;8;213.40
1;12/07/2018;S2M3;2;4;9;181.90
1;12/07/2018;S2M3;2;4;10;167.16
1;12/07/2018;S2M3;2;4;11;181.07
1;12/07/2018;S2M3;2;4;12;127.19
1;12/07/2018;S2M3;2;4;13;142.34
1;12/07/2018;S2M3;2;4;14;179.24
1;12/07/2018;S2M3;2;4;15;160.21
1;12/07/2018;S2M3;3;3;1;154.78
1;12/07/2018;S2M3;3;3;2;169.30
1;12/07/2018;S2M3;3;3;3;162.19
1;12/07/2018;S2M3;3;3;4;154.47
1;12/07/2018;S2M3;3;3;5;161.08
1;12/07/2018;S2M3;3;3;6;183.26
1;12/07/2018;S2M3;3;3;7;156.61
1;12/07/2018;S2M3;3;5;8;131.74
1;12/07/2018;S2M3;3;5;9;119.80
1;12/07/2018;S2M3;3;5;10;144.05
1;12/07/2018;S2M3;3;5;11;128.20
1;12/07/2018;S2M3;3;5;12;150.77
1;12/07/2018;S2M3;3;5;13;128.57
1;12/07/2018;S2M3;3;5;14;136.99
1;12/07/2018;S2M3;3;5;15;114.83
1;12/07/2018;S2M3;4;5;1;130.33
1;12/07/2018;S2M3;4;5;2;143.56
1;12/07/2018;S2M3;4;5;3;123.86
1;12/07/2018;S2M3;4;5;4;123.34
1;12/07/2018;S2M3;4;5;5;115.20
1;12/07/2018;S2M3;4;5;6;131.39
1;12/07/2018;S2M3;4;5;7;133.03
1;12/07/2018;S2M3;4;5;8;114.35
1;12/07/2018;S2M3;4;6;9;135.03
1;12/07/2018;S2M3;4;6;10;166.25
1;12/07/2018;S2M3;4;6;11;198.49
1;12/07/2018;S2M3;4;6;12;161.43
1;12/07/2018;S2M3;4;6;13;160.28
1;12/07/2018;S2M3;4;6;14;160.83
1;12/07/2018;S2M3;4;6;15;155.30
1;12/07/2018;S2M4;1;5;1;149.92
1;12/07/2018;S2M4;1;5;2;195.13
1;12/07/2018;S2M4;1;5;3;191.11
1;12/07/2018;S2M4;1;5;4;175.55
1;12/07/2018;S2M4;1;5;5;193.31
1;12/07/2018;S2M4;1;5;6;173.00
1;12/07/2018;S2M4;1;5;7;162.14
1;12/07/2018;S2M4;1;6;8;185.10
1;12/07/2018;S2M4;1;6;9;217.23
1;12/07/2018;S2M4;1;6;10;171.05
1;12/07/2018;S2M4;1;6;11;185.15
1;12/07/2018;S2M4;1;6;12;152.53
1;12/07/2018;S2M4;1;6;13;183.66
1;12/07/2018;S2M4;1;6;14;152.09
1;12/07/2018;S2M4;1;6;15;194.07
1;12/07/2018;S2M4;2;4;1;176.66
1;12/07/2018;S2M4;2;4;2;157.63
1;12/07/2018;S2M4;2;4;3;168.36
1;12/07/2018;S2M4;2;4;4;153.43
1;12/07/2018;S2M4;2;4;5;172.51
1;12/07/2018;S2M4;2;4;6;141.99
1;12/07/2018;S2M4;2;4;7;140.15
1;12/07/2018;S2M4;2;6;8;187.33
1;12/07/2018;S2M4;2;6;9;178.90
1;12/07/2018;S2M4;2;6;10;135.67
1;12/07/2018;S2M4;2;6;11;207.69
1;12/07/2018;S2M4;2;6;12;177.18
1;12/07/2018;S2M4;2;6;13;150.72
1;12/07/2018;S2M4;2;6;14;143.54
1;12/07/2018;S2M4;2;6;15;
1;12/07/2018;S2M4;3;4;1;168.82
1;12/07/2018;S2M4;3;4;2;156.28
1;12/07/2018;S2M4;3;4;3;139.33
1;12/07/2018;S2M4;3;4;4;138.85
1;12/07/2018;S2M4;3;4;5;171.63
1;12/07/2018;S2M4;3;4;6;132.17
1;12/07/2018;S2M4;3;4;7;127.98
1;12/07/2018;S2M4;3;4;8;152.61
1;12/07/2018;S2M4;3;3;9;167.94
1;12/07/2018;S2M4;3;3;10;152.80
1;12/07/2018;S2M4;3;3;11;160.35
1;12/07/2018;S2M4;3;3;12;201.31
